scheme,dt,n_steps,strong_error_L2
Euler,6.250000e-02,16,7.584447e-01
Euler,3.125000e-02,32,5.363797e-01
Euler,1.562500e-02,64,3.812637e-01
Euler,7.812500e-03,128,2.683184e-01
Euler,3.906250e-03,256,1.892398e-01
Euler,1.953125e-03,512,1.338019e-01
Euler,9.765625e-04,1024,9.444045e-02
Milstein,6.250000e-02,16,7.343876e-02
Milstein,3.125000e-02,32,3.677836e-02
Milstein,1.562500e-02,64,1.850925e-02
Milstein,7.812500e-03,128,9.220102e-03
Milstein,3.906250e-03,256,4.641554e-03
Milstein,1.953125e-03,512,2.300322e-03
Milstein,9.765625e-04,1024,1.149349e-03
