option,method,size,abs_error
european_call,MC exact,10000,1.023829e-01
european_call,MC exact,50000,3.503176e-02
european_call,MC exact,250000,1.899573e-02
european_call,MC exact,1250000,9.876318e-03
european_call,MC + antithetic,10000,1.075398e-02
european_call,MC + antithetic,50000,7.642253e-03
european_call,MC + antithetic,250000,5.606409e-03
european_call,MC + antithetic,1250000,1.073205e-02
european_call,MC + CV underlying,10000,1.433847e-03
european_call,MC + CV underlying,50000,5.560025e-03
european_call,MC + CV underlying,250000,3.399024e-03
european_call,MC + CV underlying,1250000,8.648548e-03
european_call,Sobol QMC,10000,7.683121e-02
european_call,Sobol QMC,50000,7.047497e-03
european_call,Sobol QMC,250000,1.010551e-03
european_call,Sobol QMC,1250000,5.457736e-03
european_call,Trinomial KR,50,3.998275e-02
european_call,Trinomial KR,100,1.994148e-02
european_call,Trinomial KR,200,9.958513e-03
european_call,Trinomial KR,400,4.976229e-03
european_call,Trinomial KR,800,2.487361e-03
european_call,Trinomial KR,1600,1.243493e-03
european_call,FTCS,50,1.557904e-03
european_call,FTCS,100,4.101522e-04
european_call,FTCS,200,1.004014e-04
european_call,FTCS,400,2.496664e-05
european_call,FTCS,800,6.226589e-06
european_call,BTCS,50,4.436126e-02
european_call,BTCS,100,2.678662e-02
european_call,BTCS,200,2.241469e-02
european_call,BTCS,400,1.084806e-02
european_call,BTCS,800,5.334822e-03
european_call,Crank-Nicolson,50,2.352125e-02
european_call,Crank-Nicolson,100,6.098399e-03
european_call,Crank-Nicolson,200,1.763564e-03
european_call,Crank-Nicolson,400,4.407666e-04
european_call,Crank-Nicolson,800,1.101839e-04
american_put,CRR American,50,1.648131e-02
american_put,CRR American,100,7.854887e-03
american_put,CRR American,200,3.826546e-03
american_put,CRR American,400,1.803399e-03
american_put,CRR American,800,8.076810e-04
american_put,CRR American,1600,3.166974e-04
american_put,Trinomial American,50,3.777214e-02
american_put,Trinomial American,100,1.937710e-02
american_put,Trinomial American,200,9.163277e-03
american_put,Trinomial American,400,4.555673e-03
american_put,Trinomial American,800,2.171033e-03
american_put,Trinomial American,1600,9.973806e-04
american_put,CN-PSOR,50,2.688081e-02
american_put,CN-PSOR,100,6.953388e-03
american_put,CN-PSOR,200,2.128234e-03
american_put,CN-PSOR,400,1.158398e-03
american_put,CN-PSOR,800,2.982532e-03
american_put,LSM,10000,4.335767e-02
american_put,LSM,50000,3.925601e-02
american_put,LSM,250000,1.465792e-02
american_put,LSM,1250000,2.176042e-02
